 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  100.0000    2.5000  -10.00  -1.889    5.69    3.40  1.6736   2.654    0.24
  100.0000    2.2500  -10.00  -1.624    5.71    3.41  1.6743   2.657    0.24
  100.0000    2.0000  -10.00   0.656    5.84    3.47  1.6811   2.683    0.24
  100.0000    1.7500  -10.00  -2.193    5.67    3.39  1.6728   2.650    0.24
  100.0000    1.5000  -10.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    1.2500  -10.00   0.158    5.81    3.46  1.6795   2.677    0.24
  100.0000    1.0000  -10.00   1.109    5.86    3.49  1.6825   2.688    0.24
  100.5000    5.2500  -10.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.5000    5.0000  -10.00  -1.050    5.74    3.42  1.6759   2.663    0.24
  100.7500    5.2500  -10.00  -0.319    5.78    3.45  1.6781   2.671    0.24
  100.7500    5.0000  -10.00   0.035    5.80    3.46  1.6791   2.676    0.24
  100.7500    4.2500  -10.00  -1.379    5.72    3.41  1.6750   2.659    0.24
  101.0000    4.2500  -10.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  101.2500    4.2500  -10.00   0.014    5.80    3.45  1.6791   2.675    0.24
  101.5000    3.0000  -10.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  101.7500    3.0000  -10.00  -1.659    5.70    3.41  1.6742   2.656    0.24
  103.0000    5.2500  -10.00  -1.419    5.72    3.41  1.6749   2.659    0.24
  103.0000    5.0000  -10.00  -0.015    5.80    3.45  1.6790   2.675    0.24
  103.0000    2.0000  -10.00  -0.851    5.75    3.43  1.6765   2.665    0.24
  103.0000    1.7500  -10.00  -0.024    5.80    3.45  1.6789   2.675    0.24
  103.2500    5.2500  -10.00  -0.628    5.76    3.44  1.6771   2.668    0.24
  103.2500    5.0000  -10.00  -0.012    5.80    3.45  1.6790   2.675    0.24
  103.2500    2.0000  -10.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  103.2500    1.7500  -10.00  -0.200    5.79    3.45  1.6784   2.673    0.24
  103.5000    1.7500  -10.00  -2.085    5.68    3.39  1.6731   2.651    0.24
  103.5000    1.5000  -10.00   1.237    5.87    3.49  1.6829   2.690    0.24
  103.5000    1.2500  -10.00   2.605    5.95    3.53  1.6875   2.706    0.24
  103.7500    1.7500  -10.00  -0.650    5.76    3.44  1.6771   2.668    0.24
  103.7500    1.5000  -10.00   3.000    5.97    3.54  1.6889   2.711    0.24
  103.7500    1.2500  -10.00   3.000    5.97    3.54  1.6889   2.711    0.24
  104.0000    1.7500  -10.00   0.674    5.84    3.47  1.6811   2.683    0.24
  104.0000    1.5000  -10.00   0.357    5.82    3.46  1.6801   2.679    0.24
  104.0000    1.2500  -10.00   0.835    5.85    3.48  1.6816   2.685    0.24
>
  100.0000    5.2500  -15.00  -0.820    5.75    3.43  1.6766   2.666    0.24
  100.0000    4.5000  -15.00   0.575    5.83    3.47  1.6808   2.682    0.24
  100.0000    4.2500  -15.00   0.645    5.84    3.47  1.6810   2.683    0.24
  100.0000    4.0000  -15.00   0.521    5.83    3.47  1.6806   2.681    0.24
  100.0000    3.7500  -15.00  -0.919    5.75    3.43  1.6763   2.665    0.24
  100.0000    3.5000  -15.00   0.350    5.82    3.46  1.6801   2.679    0.24
  100.0000    3.2500  -15.00   1.561    5.89    3.50  1.6840   2.694    0.24
  100.0000    3.0000  -15.00   0.150    5.81    3.46  1.6795   2.677    0.24
  100.0000    2.0000  -15.00   0.275    5.82    3.46  1.6799   2.678    0.24
  100.0000    1.7500  -15.00   0.400    5.82    3.47  1.6802   2.680    0.24
  100.0000    1.5000  -15.00   1.177    5.87    3.49  1.6827   2.689    0.24
  100.0000    1.2500  -15.00  -0.129    5.79    3.45  1.6786   2.674    0.24
  100.0000    1.0000  -15.00   3.000    5.97    3.54  1.6889   2.711    0.24
  100.5000    5.2500  -15.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.5000    5.0000  -15.00  -1.721    5.70    3.41  1.6740   2.656    0.24
  100.7500    5.2500  -15.00   0.323    5.82    3.46  1.6800   2.679    0.24
  100.7500    5.0000  -15.00   0.405    5.82    3.47  1.6803   2.680    0.24
  100.7500    4.2500  -15.00  -2.426    5.66    3.38  1.6722   2.648    0.24
  101.0000    4.2500  -15.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  101.2500    4.2500  -15.00   0.015    5.80    3.45  1.6791   2.675    0.24
  101.2500    3.0000  -15.00  -0.018    5.80    3.45  1.6790   2.675    0.24
  101.5000    3.0000  -15.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  101.5000    2.7500  -15.00  -0.078    5.80    3.45  1.6788   2.674    0.24
  101.7500    3.0000  -15.00  -1.069    5.74    3.42  1.6759   2.663    0.24
  101.7500    2.7500  -15.00  -0.024    5.80    3.45  1.6789   2.675    0.24
  103.0000    5.2500  -15.00  -1.649    5.70    3.41  1.6742   2.656    0.24
  103.0000    5.0000  -15.00  -0.145    5.79    3.45  1.6786   2.673    0.24
  103.0000    2.0000  -15.00  -1.962    5.69    3.40  1.6734   2.653    0.24
  103.0000    1.7500  -15.00  -0.092    5.79    3.45  1.6787   2.674    0.24
  103.2500    5.2500  -15.00  -0.361    5.78    3.44  1.6779   2.671    0.24
  103.2500    5.0000  -15.00  -0.048    5.80    3.45  1.6789   2.675    0.24
  103.2500    2.0000  -15.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  103.2500    1.7500  -15.00  -0.290    5.78    3.45  1.6781   2.672    0.24
  103.5000    2.5000  -15.00  -0.146    5.79    3.45  1.6786   2.673    0.24
  103.5000    1.7500  -15.00  -2.582    5.65    3.38  1.6718   2.646    0.24
  103.5000    1.5000  -15.00   2.345    5.94    3.52  1.6866   2.703    0.24
  103.5000    1.2500  -15.00   3.000    5.97    3.54  1.6889   2.711    0.24
  103.5000    1.0000  -15.00   0.006    5.80    3.45  1.6790   2.675    0.24
  103.7500    1.7500  -15.00   0.011    5.80    3.45  1.6790   2.675    0.24
  103.7500    1.5000  -15.00   3.000    5.97    3.54  1.6889   2.711    0.24
  103.7500    1.2500  -15.00   3.000    5.97    3.54  1.6889   2.711    0.24
  103.7500    1.0000  -15.00   0.015    5.80    3.45  1.6791   2.675    0.24
  104.0000    1.7500  -15.00   0.377    5.82    3.47  1.6802   2.680    0.24
  104.0000    1.5000  -15.00   0.070    5.80    3.46  1.6792   2.676    0.24
  104.0000    1.2500  -15.00   0.167    5.81    3.46  1.6795   2.677    0.24
>
  100.0000    5.2500  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    5.0000  -20.00  -2.984    6.31    3.69  1.7102   2.786    0.25
  100.0000    4.7500  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    4.5000  -20.00  -2.129    6.36    3.71  1.7139   2.799    0.25
  100.0000    4.2500  -20.00   0.514    6.53    3.79  1.7251   2.842    0.25
