YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
1987/04/25 19:22:11.95  29.10    469969 KGM       9804  496.15  273.72 -3.08 -1.80    66
1987/04/30 21:20:05.29  10.00    470295 KLM       9814  310.12  251.29  0.38  0.30    67
1987/04/30 21:20:05.29  10.00    470295 IPM       9814  337.95  221.66  1.51  1.70    68
1987/04/30 21:20:05.29  10.00    470295 KGM       9814  480.46  272.51 -0.26  0.30    69
1988/07/28 14:38:13.36  60.00    432846 IPM       8966  411.82  244.75  3.14  3.50    70
1988/07/28 14:38:13.36  60.00    432846 KLM       8966  442.38  267.06  1.47  1.80    71
1988/07/28 14:38:13.36  60.00    432846 KGM       8966  635.75  278.82  2.75  3.30    72
1988/08/04 11:37:36.68  62.80    427762 IPM       8850  422.49  246.71  2.67  3.10    73
1988/08/04 11:37:36.68  62.80    427762 KLM       8850  457.65  268.24  1.53  1.90    74
1988/08/04 11:37:36.68  62.80    427762 KGM       8850  652.57  279.36  2.52  3.10    75
1989/11/26 10:52:27.55  81.70    388032 KLM       8008  400.58  234.08  0.50  1.00    76
1989/11/26 10:52:27.55  81.70    388032 IPM       8008  464.51  213.34  1.48  2.20    77
1989/11/26 10:52:27.55  81.70    388032 KGM       8008  523.32  257.38 -0.37  0.20    78
1990/08/04 05:05:38.12  83.30    358416 KLM       7346  453.07  213.39  1.43  2.10    79
1990/08/04 05:05:38.12  83.30    358416 KGM       7346  505.98  239.41  2.28  2.90    80
1990/08/04 05:05:38.12  83.30    358416 IPM       7346  561.16  198.75  2.04  3.00    81
1990/10/27 19:16:51.01  90.00    354763 KLM       7269  357.40  238.52  2.20  2.60    82
1990/10/27 19:16:51.01  90.00    354763 IPM       7269  413.45  214.76  2.40  3.00    83
1990/10/27 19:16:51.01  90.00    354763 KGM       7269  495.48  262.34  2.00  2.50    84
1990/11/15 02:34:33.98  39.80    350619 IPM       7184  398.51  262.13 -1.12 -0.90    85
1990/11/15 02:34:33.98  39.80    350619 KLM       7184  474.48  281.96 -2.74 -2.50    86
1990/11/15 02:34:33.98  39.80    350619 KGM       7184  686.36  288.55 -1.51 -1.10    87
1990/11/18 16:06:51.57  26.90    350954 IPM       7191  436.24  259.64 -2.67 -1.60    88
1990/11/18 16:06:51.57  26.90    350954 KLM       7191  504.12  278.49 -1.65 -0.50    89
1990/11/18 16:06:51.57  26.90    350954 KGM       7191  712.20  285.85  0.86  1.80    90
1990/11/18 16:23:06.25  45.00    350955 IPM       7191  421.27  261.63 -1.94 -1.70    91
1990/11/18 16:23:06.25  45.00    350955 KLM       7191  494.79  280.67 -2.35 -2.00    92
1990/11/18 16:23:06.25  45.00    350955 KGM       7191  705.27  287.46  1.72  2.30    93
1990/12/16 16:53:34.55  33.00    347613 IPM       7114  498.99  240.97  0.24  1.80    94
1990/12/16 16:53:34.55  33.00    347613 KLM       7114  513.49  260.01 -1.00  0.40    95
1990/12/16 16:53:34.55  33.00    347613 KGM       7114  692.85  272.58  1.02  2.20    96
1990/12/26 16:26:11.98  57.70    348798 KLM       7139  475.25  217.57  0.08  0.70    97
1990/12/26 16:26:11.98  57.70    348798 KGM       7139  540.44  241.74 -0.03  0.50    98
