YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
2008/10/03 14:07:32.76  35.00  12065783 KULM    103134  395.78  205.72  1.50  2.30  1955
2008/10/03 14:07:32.76  35.00  12065783 KGM     103134  468.95  270.86 -1.30 -0.80  1956
2008/10/03 14:07:32.76  35.00  12065783 MYKOM   103134  528.95  273.47 -1.51 -1.00  1957
2008/10/03 14:07:32.76  35.00  12065783 KTGM    103134  574.84  231.03 -0.50  0.20  1958
2008/10/10 11:28:49.94  28.00  12066500 BKNI    107431  458.84  283.59 -2.07 -0.80  1959
2008/10/10 11:28:49.94  28.00  12066500 IPM     103135  567.50  231.36 -0.68  0.60  1960
2008/10/10 11:28:49.94  28.00  12066500 KULM    103135  598.76  222.08 -1.23  0.10  1961
2008/10/10 11:28:49.94  28.00  12066500 MYKOM   103135  760.17  265.79 -1.14 -0.20  1962
2008/10/11 07:58:40.98  48.00  12066571 BKNI    107431  285.13  268.42  2.06  2.20  1963
2008/10/11 07:58:40.98  48.00  12066571 IPM     104785  548.41  211.05  1.10  1.80  1964
2008/10/11 07:58:40.98  48.00  12066571 KULM    104785  609.59  203.29  0.15  1.00  1965
2008/10/11 12:32:29.98  27.00  12066586 BKNI    107431  442.57  281.66 -0.67  0.40  1966
2008/10/11 12:32:29.98  27.00  12066586 IPM     104788  569.66  229.13 -0.70  0.50  1967
2008/10/11 12:32:29.98  27.00  12066586 KULM    104788  604.44  220.03 -1.64 -0.40  1968
2008/10/15 08:01:59.93  47.60  11349222 IPM     103135  451.83  230.30  1.72  2.20  1969
2008/10/15 08:01:59.93  47.60  11349222 IPM     107430  451.83  230.30  1.97  2.40  1970
2008/10/15 08:01:59.93  47.60  11349222 KGM     103135  603.41  268.56  2.42  2.80  1971
2008/10/15 08:01:59.93  47.60  11349222 MYKOM   103135  662.39  270.85  2.27  2.70  1972
2008/10/15 08:01:59.93  47.60  11349222 KTGM    103135  696.27  236.54  1.85  2.50  1973
2008/10/26 09:50:55.47  25.00  12071147 BKNI    107427  453.37  282.74  0.29  1.30  1974
2008/10/26 09:50:55.47  25.00  12071147 IPM     104822  569.56  230.51 -0.85  0.30  1975
2008/10/26 09:50:55.47  25.00  12071147 KULM    104822  602.17  221.31 -1.57 -0.40  1976
2008/10/28 22:00:10.06  28.00  11472821 IPM     104827  550.92  230.58 -0.06  1.20  1977
2008/10/28 22:00:10.06  28.00  11472821 IPM     107427  550.92  230.58  0.88  2.20  1978
2008/10/28 22:00:10.06  28.00  11472821 KULM    104827  583.66  221.09 -0.44  0.90  1979
2008/11/01 13:04:39.06  48.00  12071852 FRIM    103135  495.44  225.96  1.19  1.70  1980
2008/11/01 13:04:39.06  48.00  12071852 IPM     103135  562.62  210.94  1.60  2.30  1981
2008/11/01 13:04:39.06  48.00  12071852 KULM    103135  623.81  203.37 -0.36  0.50  1982
2008/11/01 13:04:39.06  48.00  12071852 MYKOM   103135  631.05  253.08 -0.85 -0.40  1983
2008/11/01 13:04:39.06  48.00  12071852 KTGM    103135  778.93  222.16 -0.71  0.20  1984
2008/11/03 19:22:02.00  33.10  11391128 BKNI    107441  429.02  282.81 -0.94  0.40  1985
2008/11/03 19:22:02.00  33.10  11391128 FRIM    103135  534.28  244.63  0.12  1.60  1986
2008/11/03 19:22:02.00  33.10  11391128 IPM     103135  554.56  228.56  0.95  2.50  1987
2008/11/03 19:22:02.00  33.10  11391128 KULM    103135  590.44  219.27 -0.22  1.40  1988
2008/11/03 19:22:02.00  33.10  11391128 KGM     103135  677.87  262.08  0.56  1.80  1989
2008/11/03 19:22:02.00  33.10  11391128 MYKOM   103135  733.69  264.65  0.39  1.60  1990
2008/11/03 20:35:49.01  25.00  12072168 IPM     103135  568.07  229.07  0.97  2.10  1991
2008/11/03 20:35:49.01  25.00  12072168 KULM    103135  602.98  219.95 -0.74  0.50  1992
2008/11/03 20:35:49.01  25.00  12072168 KGM     103135  691.93  261.81  0.38  1.20  1993
2008/11/03 20:35:49.01  25.00  12072168 MYKOM   103135  747.60  264.35  0.13  0.90  1994
2008/11/09 17:59:09.97  25.00  11406541 BKNI    107440  442.79  281.23 -0.36  0.60  1995
2008/11/09 17:59:09.97  25.00  11406541 FRIM    103135  552.53  244.50 -0.05  1.00  1996
2008/11/09 17:59:09.97  25.00  11406541 IPM     103135  572.43  228.95 -0.26  0.90  1997
2008/11/09 17:59:09.97  25.00  11406541 KULM    103135  607.47  219.90 -1.05  0.10  1998
2008/11/09 17:59:09.97  25.00  11406541 KGM     103135  694.94  261.53 -0.01  0.80  1999
2008/11/09 17:59:09.97  25.00  11406541 MYKOM   103135  750.46  264.09 -0.17  0.60  2000
2008/11/17 00:34:21.50  33.00  12073805 IPM     105065  509.30  244.92 -0.02  1.50  2001
2008/11/17 00:34:21.50  33.00  12073805 IPM     107437  509.30  244.92  0.93  2.40  2002
2008/11/17 00:34:21.50  33.00  12073805 KULM    105065  518.97  233.88 -0.09  1.50  2003
2008/11/17 00:34:21.50  33.00  12073805 KULM    107437  518.97  233.88  0.08  1.60  2004
2008/11/29 00:41:36.12  35.00  12075208 BKNI    107434  290.20  307.08  2.18  2.80  2005
2008/11/29 00:41:36.12  35.00  12075208 IPM     105092  367.33  218.63 -0.34  0.40  2006
2008/11/29 00:41:36.12  35.00  12075208 KULM    105092  421.08  206.44 -1.01 -0.20  2007
2008/11/30 21:19:14.40  35.00  12075363 BKNI    107433  280.64  305.58  2.08  2.70  2008
2008/11/30 21:19:14.40  35.00  12075363 IPM     103136  374.53  217.12 -0.53  0.20  2009
2008/11/30 21:19:14.40  35.00  12075363 KULM    103136  430.15  205.36 -1.20 -0.40  2010
2008/11/30 21:19:14.40  35.00  12075363 KGM     103136  482.03  267.02 -0.30  0.20  2011
2008/11/30 21:19:14.40  35.00  12075363 MYKOM   103136  540.46  269.99  1.47  0.40  2012
2008/12/01 03:41:20.53  43.00  12075382 BKNI    107450  283.21  276.57  1.47  1.60  2013
2008/12/01 03:41:20.53  43.00  12075382 IPM     107450  512.31  213.02  2.37  3.00  2014
2008/12/01 03:41:20.53  43.00  12075382 KULM    107450  571.27  204.54  0.94  1.70  2015
2008/12/01 03:41:20.53  43.00  12075382 MYKOM   107450  607.85  257.57  0.73  1.10  2016
2008/12/07 08:45:34.02  43.00  12076141 IPM     106720  546.81  214.15  1.44  2.10  2017
2008/12/07 08:45:34.02  43.00  12076141 KULM    106720  603.90  206.04  0.81  1.50  2018
2008/12/07 08:45:34.02  43.00  12076141 MYKOM   107448  640.20  256.11  0.74  1.10  2019
2008/12/08 08:53:19.26  25.00  12076331 BKNI    107448  451.15  281.89 -0.41  0.60  2020
2008/12/08 08:53:19.26  25.00  12076331 IPM     106724  573.50  229.92 -0.76  0.40  2021
2008/12/08 08:53:19.26  25.00  12076331 IPM     107448  573.50  229.92 -0.81  0.40  2022
2008/12/08 08:53:19.26  25.00  12076331 KULM    106724  606.99  220.82 -1.39 -0.20  2023
2008/12/09 06:05:00.27  25.00  12076480 BKNI    107447  448.81  281.79  0.27  1.30  2024
2008/12/09 06:05:00.27  25.00  12076480 IPM     106726  572.66  229.69 -0.95  0.20  2025
2008/12/09 06:05:00.27  25.00  12076480 KULM    106726  606.53  220.59 -1.55 -0.40  2026
2008/12/15 21:18:10.16  52.70  12077665 BKNI    107445  362.37  180.96  0.46  1.00  2027
2008/12/15 21:18:10.16  52.70  12077665 MYKOM   107445  614.11  211.27 -0.11  0.70  2028
2008/12/15 21:18:10.16  52.70  12077665 IPM     106742  824.16  180.31  0.79  2.10  2029
2008/12/15 21:18:10.16  52.70  12077665 IPM     107445  824.16  180.31  1.24  2.60  2030
2008/12/15 21:18:10.16  52.70  12077665 KULM    103136  915.03  177.67  0.37  1.80  2031
2008/12/15 21:18:10.16  52.70  12077665 KULM    107445  915.03  177.67 -0.01  1.50  2032
2008/12/17 22:26:13.11  29.00  12077983 BKNI    107445  347.40  272.23  1.72  2.60  2033
2008/12/17 22:26:13.11  29.00  12077983 IPM     106747  565.77  217.55 -0.64  0.80  2034
2008/12/17 22:26:13.11  29.00  12077983 KULM    106747  617.97  209.35 -1.17  0.30  2035
2008/12/20 21:29:50.12  32.00  12078387 IPM     106758  544.53  217.56  1.15  2.80  2036
2008/12/20 21:29:50.12  32.00  12078387 KULM    106758  596.95  209.07  0.39  2.00  2037
2008/12/30 17:28:19.50  28.00  11527865 BKNI    107442  451.17  283.04  0.25  1.40  2038
2008/12/30 17:28:19.50  28.00  11527865 IPM     103136  566.33  230.48  0.19  1.50  2039
2008/12/30 17:28:19.50  28.00  11527865 KULM    103136  599.02  221.23 -0.70  0.60  2040
2008/12/30 17:28:19.50  28.00  11527865 KGM     103136  697.99  262.86  0.01  1.00  2041
2009/01/24 00:36:13.61  22.00  13433960 FRIM    117153  608.09  236.46  0.05  1.00  2042
2009/01/24 00:36:13.61  22.00  13433960 IPM     107772  646.73  222.85  0.12  1.10  2043
2009/01/24 00:36:13.61  22.00  13433960 KGM     117153  723.73  253.93  0.31  1.00  2044
2009/01/24 00:36:13.61  22.00  13433960 MYKOM   117153  774.63  256.92  0.50  1.20  2045
2009/01/26 19:33:07.88  30.20  13434017 BKNI    117826  337.28  256.93  1.38  2.30  2046
2009/01/26 19:33:07.88  30.20  13434017 FRIM    117154  561.04  224.50  0.02  1.50  2047
2009/01/26 19:33:07.88  30.20  13434017 IPM     107779  629.51  211.23 -0.70  0.80  2048
2009/01/26 19:33:07.88  30.20  13434017 KGM     117154  639.05  245.56 -0.69  0.50  2049
2009/01/26 19:33:07.88  30.20  13434017 MYKOM   117154  684.09  249.53 -0.18  1.00  2050
2009/01/28 00:01:15.52  28.80  13962508 FRIM    117154  548.48  224.09  1.11  2.50  2051
2009/01/28 00:01:15.52  28.80  13962508 IPM     117154  618.22  210.60  1.11  2.60  2052
2009/01/28 00:01:15.52  28.80  13962508 KGM     117154  625.88  245.64  0.52  1.70  2053
2009/01/28 00:01:15.52  28.80  13962508 MYKOM   117154  671.01  249.67 -0.60  0.50  2054
2009/01/28 02:39:10.77  27.00  11656149 BKNI    117826  350.60  255.17  1.18  1.90  2055
2009/01/28 02:39:10.77  27.00  11656149 IPM     107781  646.42  211.39 -1.02  0.30  2056
2009/01/28 02:39:10.77  27.00  11656149 MYKOM   117826  698.58  248.79 -0.75  0.20  2057
2009/01/28 19:27:13.53  27.00  12082604 FRIM    117154  556.26  223.56  0.56  1.90  2058
2009/01/28 19:27:13.53  27.00  12082604 IPM     107783  626.97  210.31 -0.03  1.30  2059
2009/01/28 19:27:13.53  27.00  12082604 KGM     117154  631.25  244.95 -0.06  1.00  2060
2009/02/04 09:03:45.55  25.30  11667290 BKNI    117839  593.38  292.31  0.70  1.70  2061
2009/02/04 09:03:45.55  25.30  11667290 IPM     108557  595.06  246.51 -0.66  0.30  2062
2009/02/04 09:03:45.55  25.30  11667290 MYKOM   117839  863.12  274.05  0.32  1.10  2063
2009/02/14 21:58:52.95  28.00  12700709 BKNI    117836  475.28  289.49 -1.18  0.10  2064
2009/02/14 21:58:52.95  28.00  12700709 IPM     108584  538.94  235.71 -0.50  0.80  2065
2009/02/14 21:58:52.95  28.00  12700709 FRIM    117154  538.44  252.09  0.10  1.30  2066
2009/02/14 21:58:52.95  28.00  12700709 KULM    108584  563.56  225.68 -0.69  0.70  2067
2009/02/14 21:58:52.95  28.00  12700709 MYKOM   117836  760.17  269.60 -1.47 -0.50  2068
2009/02/15 03:56:34.33  28.00  13434653 BKNI    117836  481.61  288.90 -1.23  0.10  2069
2009/02/15 03:56:34.33  28.00  13434653 IPM     108584  546.64  235.93 -0.82  0.40  2070
2009/02/15 03:56:34.33  28.00  13434653 KULM    108584  570.77  226.03 -1.14  0.20  2071
2009/02/15 03:56:34.33  28.00  13434653 MYKOM   117154  767.77  269.42 -0.20  0.70  2072
2009/02/19 11:38:11.29  22.00  12701238 BKNI    117834  441.55  266.46  0.97  1.80  2073
2009/02/19 11:38:11.29  22.00  12701238 FRIM    117155  615.36  235.19 -0.19  0.70  2074
2009/02/19 11:38:11.29  22.00  12701238 IPM     108594  656.96  221.84 -0.43  0.60  2075
2009/02/19 11:38:11.29  22.00  12701238 KULM    108594  702.05  214.36 -1.49 -0.40  2076
2009/02/19 11:38:11.29  22.00  12701238 KGM     117155  726.58  252.74 -0.28  0.40  2077
2009/02/19 11:38:11.29  22.00  12701238 MYKOM   117155  776.68  255.80 -0.26  0.40  2078
2009/02/19 11:38:11.29  22.00  12701238 KTGM    117155  890.36  228.97 -0.51  0.40  2079
2009/02/23 05:56:32.30  42.40  11713581 BKNI    117834  278.74  274.43  1.46  1.60  2080
2009/02/23 05:56:32.30  42.40  11713581 FRIM    117155  456.90  228.57  2.20  2.60  2081
2009/02/23 05:56:32.30  42.40  11713581 IPM     108602  519.61  212.05  1.78  2.40  2082
2009/02/23 05:56:32.30  42.40  11713581 KGM     117155  556.64  252.58  1.70  2.10  2083
2009/02/23 05:56:32.30  42.40  11713581 KULM    108602  579.78  203.79  1.14  1.90  2084
2009/02/23 05:56:32.30  42.40  11713581 MYKOM   117155  606.93  256.51  1.72  2.10  2085
2009/02/24 12:13:14.97  34.00  13435047 BKNI    117833  453.51  286.04 -0.30  1.20  2086
2009/02/24 12:13:14.97  34.00  13435047 FRIM    117155  538.28  248.32  0.11  1.60  2087
2009/02/24 12:13:14.97  34.00  13435047 IPM     108605  548.74  232.12 -1.05  0.50  2088
2009/02/24 12:13:14.97  34.00  13435047 KULM    108605  579.04  222.49 -1.78 -0.20  2089
2009/02/24 12:13:14.97  34.00  13435047 KGM     117155  691.79  264.74 -0.85  0.40  2090
2009/02/24 12:13:14.97  34.00  13435047 MYKOM   117155  748.97  267.06  0.93  2.20  2091
2009/02/24 15:29:23.90  25.80  12054535 FRIM    117155  552.80  248.37  0.57  1.60  2092
2009/02/24 15:29:23.90  25.80  12054535 IPM     117155  562.57  232.58 -0.89  0.30  2093
2009/02/24 15:29:23.90  25.80  12054535 KULM    117155  591.93  223.14 -1.46 -0.20  2094
2009/02/24 15:29:23.90  25.80  12054535 KGM     117155  705.88  264.45 -0.31  0.50  2095
2009/02/24 15:29:23.90  25.80  12054535 MYKOM   117833  762.90  266.74 -2.54 -1.70  2096
2009/02/26 00:03:32.23  25.00  11729478 BKNI    117833  462.13  280.81 -0.99  0.10  2097
2009/02/26 00:03:32.23  25.00  11729478 FRIM    117155  570.09  245.39 -1.67 -0.60  2098
2009/02/26 00:03:32.23  25.00  11729478 IPM     108607  587.05  230.23 -1.58 -0.50  2099
2009/02/26 00:03:32.23  25.00  11729478 IPM     117155  587.05  230.23 -0.92  0.20  2100
2009/02/26 00:03:32.23  25.00  11729478 KULM    108607  619.87  221.31 -2.38 -1.20  2101
2009/02/26 00:03:32.23  25.00  11729478 KGM     117155  714.28  261.80 -1.05 -0.20  2102
2009/02/26 00:03:32.23  25.00  11729478 MYKOM   117155  769.92  264.27 -0.86 -0.10  2103
2009/02/26 18:35:33.36  35.00  15957372 FRIM    117155  186.51  234.52 -0.34  0.50  2104
2009/02/26 18:35:33.36  35.00  15957372 IPM     117155  260.68  199.08 -0.63  0.20  2105
2009/02/26 18:35:33.36  35.00  15957372 KULM    117155  339.27  187.37 -0.57  0.20  2106
2009/02/26 18:35:33.36  35.00  15957372 KGM     117155  341.36  274.59 -0.71 -0.20  2107
2009/02/26 18:35:33.36  35.00  15957372 KTGM    117155  466.83  223.05 -2.71 -2.00  2108
2009/02/27 05:25:47.75  28.00  13435138 BKNI    117833  469.11  286.97 -0.49  0.80  2109
2009/02/27 05:25:47.75  28.00  13435138 FRIM    117155  546.09  249.95 -0.51  0.70  2110
2009/02/27 05:25:47.75  28.00  13435138 IPM     108608  551.95  233.89 -1.66 -0.40  2111
2009/02/27 05:25:47.75  28.00  13435138 KULM    108608  579.34  224.20 -1.50 -0.20  2112
2009/02/27 05:25:47.75  28.00  13435138 KGM     117155  703.59  265.78 -0.05  0.90  2113
2009/02/27 05:25:47.75  28.00  13435138 MYKOM   117155  761.26  267.98  0.15  1.10  2114
2009/03/03 17:11:52.51  35.00  12702366 IPM     117155  358.48  216.62  1.38  2.10  2115
2009/03/03 17:11:52.51  35.00  12702366 KULM    117155  415.12  204.48  0.05  0.80  2116
2009/03/03 17:11:52.51  35.00  12702366 KGM     117155  469.38  268.27 -0.38  0.10  2117
2009/03/03 17:11:52.51  35.00  12702366 MYKOM   117155  528.35  271.17 -1.22 -0.70  2118
2009/03/08 18:40:22.50  25.00  15153098 BKNI    117844  441.08  280.96 -0.27  0.70  2119
2009/03/08 18:40:22.50  25.00  15153098 FRIM    117155  552.41  244.22 -0.84  0.20  2120
2009/03/08 18:40:22.50  25.00  15153098 IPM     117155  573.05  228.68 -0.59  0.60  2121
2009/03/08 18:40:22.50  25.00  15153098 KULM    117155  608.49  219.66 -1.60 -0.40  2122
2009/03/08 18:40:22.50  25.00  15153098 KGM     117155  694.04  261.32  0.08  0.90  2123
2009/03/08 18:40:22.50  25.00  15153098 MYKOM   117155  749.44  263.89 -0.19  0.60  2124
2009/03/10 04:40:39.36  26.00  11792105 BKNI    117844  431.04  281.08 -0.61  0.40  2125
2009/03/10 04:40:39.36  26.00  11792105 IPM     109118  566.23  227.94 -0.80  0.40  2126
2009/03/10 04:40:39.36  26.00  11792105 IPM     117155  566.23  227.94 -0.52  0.70  2127
2009/03/10 04:40:39.36  26.00  11792105 KULM    109118  602.93  218.87 -1.35 -0.10  2128
2009/03/10 04:40:39.36  26.00  11792105 KULM    117155  602.93  218.87 -0.89  0.40  2129
2009/03/10 04:40:39.36  26.00  11792105 KGM     117155  684.28  261.11 -0.05  0.80  2130
2009/03/10 04:40:39.36  26.00  11792105 MYKOM   117155  739.58  263.74 -0.34  0.50  2131
2009/03/20 13:42:46.76  28.00  12703819 IPM     109141  575.95  232.03 -2.95 -1.70  2132
2009/03/20 13:42:46.76  28.00  12703819 KULM    109141  606.03  222.83 -1.87 -0.60  2133
2009/03/20 13:42:46.76  28.00  12703819 KGM     117156  714.39  263.51 -0.74  0.20  2134
2009/03/23 09:57:51.33  28.00  12635375 IPM     109146  562.67  230.32 -0.14  1.10  2135
2009/03/23 09:57:51.33  28.00  12635375 KULM    117156  595.66  221.03 -0.45  0.90  2136
2009/03/23 09:57:51.33  28.00  12635375 KGM     117156  694.09  262.91 -0.52  0.50  2137
2009/03/25 18:27:34.00  80.00  15153418 BKNI    117841  282.72  278.65  0.67  0.90  2138
2009/03/25 18:27:34.00  80.00  15153418 FRIM    117156  444.53  230.74  0.50  1.10  2139
2009/03/25 18:27:34.00  80.00  15153418 IPM     109150  502.83  213.47  1.07  1.80  2140
2009/03/25 18:27:34.00  80.00  15153418 KGM     117156  552.26  254.70  0.59  1.20  2141
2009/03/25 18:27:34.00  80.00  15153418 KULM    109150  561.31  204.80 -0.62  0.30  2142
2009/03/25 18:27:34.00  80.00  15153418 MYKOM   117156  603.95  258.47  1.13  1.70  2143
2009/03/25 18:27:34.00  80.00  15153418 KTGM    117156  724.89  224.79  0.13  1.20  2144
2009/04/08 19:36:02.81  48.00  12934781 IPM     117850  573.74  210.72  1.43  2.20  2145
2009/04/08 19:36:02.81  48.00  12934781 BTDF    117850  616.76  256.26 -0.29  0.20  2146
2009/04/08 19:36:02.81  48.00  12934781 KULM    117850  635.12  203.30  0.03  0.90  2147
2009/04/08 19:36:02.81  48.00  12934781 MYKOM   117850  637.91  252.27 -0.72 -0.20  2148
2009/04/11 00:03:30.73  20.10  12935062 IPM     117156  580.91  229.28 -0.51  0.40  2149
2009/04/11 00:03:30.73  20.10  12935062 KULM    117156  615.32  220.33 -2.00 -1.00  2150
2009/04/11 00:03:30.73  20.10  12935062 KTGM    117156  823.75  234.85 -1.33 -0.60  2151
2009/04/11 01:59:47.39  32.10  12581753 BKNI    117849  435.21  282.57 -0.76  0.60  2152
2009/04/11 01:59:47.39  32.10  12581753 FRIM    117156  540.27  244.88 -0.11  1.30  2153
2009/04/11 01:59:47.39  32.10  12581753 IPM     110219  559.65  228.96 -0.38  1.10  2154
2009/04/11 01:59:47.39  32.10  12581753 KULM    110219  594.83  219.72 -1.82 -0.30  2155
2009/04/11 01:59:47.39  32.10  12581753 KGM     117156  684.29  262.12 -0.28  0.90  2156
2009/04/11 01:59:47.39  32.10  12581753 BTDF    117849  728.80  268.35 -0.58  0.60  2157
2009/04/11 01:59:47.39  32.10  12581753 MYKOM   117849  740.13  264.66 -0.27  0.90  2158
2009/04/11 01:59:47.39  32.10  12581753 KTGM    117156  802.28  234.78  0.32  1.70  2159
2009/04/16 13:33:13.33  81.60  13438685 KULM    110230  431.28  242.38  0.70  1.20  2160
2009/04/16 13:33:13.33  81.60  13438685 KULM    117156  431.28  242.38  0.65  1.20  2161
2009/04/16 13:33:13.33  81.60  13438685 IPM     110230  438.19  255.47  0.22  0.60  2162
2009/04/16 13:33:13.33  81.60  13438685 IPM     117156  438.19  255.47  0.15  0.60  2163
2009/04/16 13:33:13.33  81.60  13438685 FRIM    117156  492.13  273.27  0.12  0.60  2164
2009/04/16 13:33:13.33  81.60  13438685 KTGM    117156  688.63  252.61  0.86  1.60  2165
2009/04/16 13:33:13.33  81.60  13438685 KGM     117156  699.41  283.48  0.56  1.30  2166
2009/04/16 13:33:13.33  81.60  13438685 MYKOM   117156  762.77  284.26 -0.58  0.30  2167
2009/05/08 13:19:01.59  26.30  15154210 IPM     111409  410.67  251.61  0.25  1.20  2168
2009/05/08 13:19:01.59  26.30  15154210 FRIM    117157  456.89  271.06 -0.26  0.80  2169
2009/05/08 13:19:01.59  26.30  15154210 KGM     117157  661.33  282.54  1.06  2.00  2170
2009/05/08 13:19:01.59  26.30  15154210 KTGM    117157  662.23  250.12  1.02  2.00  2171
2009/05/08 13:19:01.59  26.30  15154210 MYKOM   117157  724.53  283.44  0.18  1.10  2172
2009/05/08 13:19:01.59  26.30  15154210 BTDF    117854  729.12  287.25  0.44  1.30  2173
2009/05/23 10:54:18.16  10.00  13679462 BKNI    117852  104.18  249.51  0.81  0.80  2174
2009/05/23 10:54:18.16  10.00  13679462 FRIM    117157  395.14  204.28  1.29  1.80  2175
2009/05/23 10:54:18.16  10.00  13679462 KGM     117157  416.54  237.40  1.64  2.00  2176
2009/05/23 10:54:18.16  10.00  13679462 MYKOM   117157  455.87  244.06  0.98  1.50  2177
2009/05/23 10:54:18.16  10.00  13679462 IPM     111438  507.45  190.88  1.60  2.60  2178
2009/05/23 10:54:18.16  10.00  13679462 KULM    111438  590.92  185.25  0.45  1.40  2179
2009/05/23 10:54:18.16  10.00  13679462 KTGM    117157  678.33  209.06  1.35  2.10  2180
2009/06/11 14:49:03.70  38.80  13196240 BKNI    117858  470.57  288.95  0.66  0.90  2181
2009/06/11 14:49:03.70  38.80  13196240 FRIM    117158  537.40  251.41 -0.00  0.30  2182
2009/06/11 14:49:03.70  38.80  13196240 IPM     113028  539.74  235.03 -0.38  0.10  2183
2009/06/11 14:49:03.70  38.80  13196240 KULM    113028  565.46  225.06 -0.73 -0.20  2184
2009/06/11 14:49:03.70  38.80  13196240 KGM     117158  698.98  267.06  0.61  1.00  2185
2009/06/11 14:49:03.70  38.80  13196240 MYKOM   117158  757.24  269.17  0.46  0.90  2186
2009/06/11 14:49:03.70  38.80  13196240 KTGM    117158  787.47  239.06  0.03  0.40  2187
2009/06/25 21:47:23.22  35.00  13682035 BKNI    117856  190.82  296.40 -1.23 -0.40  2188
2009/06/25 21:47:23.22  35.00  13682035 IPM     117158  413.15  204.14 -0.73  0.10  2189
2009/06/25 21:47:23.22  35.00  13682035 KULM    117158  484.12  195.23 -2.23 -1.40  2190
2009/06/28 13:31:42.10  25.00  13383586 BKNI    117856  463.30  282.30 -0.41  0.70  2191
2009/06/28 13:31:42.10  25.00  13383586 FRIM    117158  564.03  246.45 -1.31 -0.30  2192
2009/06/28 13:31:42.10  25.00  13383586 IPM     117158  578.44  231.07 -1.57 -0.40  2193
2009/06/28 13:31:42.10  25.00  13383586 KULM    117158  610.04  221.97 -1.72 -0.50  2194
2009/06/28 13:31:42.10  25.00  13383586 KGM     117158  711.40  262.74 -0.75  0.10  2195
2009/06/28 13:31:42.10  25.00  13383586 MYKOM   117158  767.55  265.15 -0.72  0.10  2196
2009/06/28 13:31:42.10  25.00  13383586 KTGM    117158  822.97  236.11 -1.45 -0.50  2197
2009/07/02 08:52:00.18  57.00  15156404 BKNI    117863  182.19  211.56 -1.41 -1.20  2198
2009/07/02 08:52:00.18  57.00  15156404 BTDF    117863  482.14  235.91 -1.77 -1.30  2199
2009/07/02 08:52:00.18  57.00  15156404 KGM     117158  489.24  225.47 -1.20 -0.60  2200
2009/07/02 08:52:00.18  57.00  15156404 FRIM    117158  505.06  198.51 -1.36 -0.60  2201
2009/07/02 08:52:00.18  57.00  15156404 MYKOM   117158  517.15  232.06 -1.16 -0.60  2202
2009/07/02 08:52:00.18  57.00  15156404 IPM     117158  624.15  188.63 -0.41  0.60  2203
2009/07/02 08:52:00.18  57.00  15156404 KULM    117158  709.11  184.20 -2.23 -1.10  2204
2009/07/02 08:52:00.18  57.00  15156404 KTGM    117159  783.33  204.71 -0.72  0.50  2205
2009/07/10 16:50:09.75  32.10  15157286 FRIM    117159  554.14  223.56  0.28  1.80  2206
2009/07/10 16:50:09.75  32.10  15157286 IPM     114127  624.90  210.27  0.42  2.00  2207
2009/07/10 16:50:09.75  32.10  15157286 KGM     117159  629.29  245.02  0.40  1.70  2208
2009/07/10 16:50:09.75  32.10  15157286 MYKOM   117159  673.93  249.08  0.97  2.20  2209
2009/07/10 16:50:09.75  32.10  15157286 KULM    117159  686.48  203.44  0.41  2.10  2210
2009/07/10 16:50:09.75  32.10  15157286 KTGM    117159  838.77  220.84  0.93  2.40  2211
2009/07/11 16:21:16.05  65.00  16102327 FRIM    117159  412.89  232.91  0.64  1.10  2212
2009/07/11 16:21:16.05  65.00  16102327 IPM     117159  467.71  214.14  1.55  2.20  2213
2009/07/11 16:21:16.05  65.00  16102327 KULM    117159  525.73  204.82  0.89  1.70  2214
2009/07/11 16:21:16.05  65.00  16102327 KGM     117159  530.15  257.65 -0.02  0.40  2215
2009/07/11 16:21:16.05  65.00  16102327 MYKOM   117159  583.69  261.29 -0.70 -0.20  2216
2009/07/11 16:21:16.05  65.00  16102327 KTGM    117159  691.61  225.81  0.48  1.40  2217
2009/07/13 03:52:36.15  46.00  13545450 FRIM    117159  443.71  251.55  1.36  1.70  2218
2009/07/13 03:52:36.15  46.00  13545450 IPM     114131  450.34  231.80  1.50  1.90  2219
2009/07/13 03:52:36.15  46.00  13545450 KULM    114131  482.85  220.25  0.60  1.10  2220
2009/07/13 03:52:36.15  46.00  13545450 KULM    117159  482.85  220.25 -0.79 -0.30  2221
2009/07/13 03:52:36.15  46.00  13545450 KGM     117159  609.55  269.53  0.97  1.40  2222
2009/07/13 03:52:36.15  46.00  13545450 MYKOM   117159  668.92  271.70  0.53  1.00  2223
2009/07/13 03:52:36.15  46.00  13545450 KTGM    117159  696.03  237.52  0.64  1.30  2224
2009/07/25 18:41:57.93  40.00  13582817 BKNI    117860  486.87  290.47 -0.75 -0.40  2225
2009/07/25 18:41:57.93  40.00  13582817 IPM     114152  539.16  237.22 -0.24  0.20  2226
2009/07/25 18:41:57.93  40.00  13582817 FRIM    117159  542.67  253.53 -0.12  0.20  2227
2009/07/25 18:41:57.93  40.00  13582817 KULM    114152  561.29  227.11 -0.37  0.10  2228
2009/07/25 18:41:57.93  40.00  13582817 KGM     117159  709.34  268.50  0.36  0.80  2229
2009/07/25 18:41:57.93  40.00  13582817 MYKOM   117159  768.23  270.48  0.09  0.70  2230
